process_id,input_size,output_size,priority,final_delay
423,206,37,2,6.44074
424,204,137,2,6.379546666666667
425,152,104,2,4.7534133333333335
426,20,11,8,0.6254133333333333
427,50,26,6,1.5635133333333333
428,183,129,14,5.72291
429,284,242,3,8.882013333333333
430,205,156,6,6.411063333333334
431,285,170,3,8.912316666666667
432,145,123,18,4.534823333333334
433,45,27,7,1.4072099999999998
434,111,13,18,3.470403333333333
435,96,87,7,3.00244
436,52,45,2,1.6262933333333334
437,29,17,19,0.9068633333333334
438,277,115,12,8.661476666666665
439,251,202,14,7.84979
440,64,39,19,2.001373333333333
441,84,66,8,2.627
442,126,95,17,3.9404466666666664
443,197,49,6,6.15953
444,31,29,14,0.96955
445,285,222,7,8.91301
446,287,248,19,8.975883333333334
447,62,10,10,1.93846
448,243,62,15,7.597816666666667
449,57,18,5,1.7822500000000001
450,209,156,3,6.536116666666667
451,247,57,19,7.722803333333333
452,118,43,19,3.689646666666667
453,93,86,1,2.9086366666666668
454,63,15,20,1.96979
455,241,61,18,7.535276666666666
456,128,68,12,4.002613333333333
457,86,77,7,2.6896733333333334
458,58,56,8,1.81402
459,225,102,12,7.03561
460,145,36,19,4.533663333333333
461,246,183,14,7.69322
462,281,99,10,8.786316666666666
463,277,41,14,8.66049
464,115,83,6,3.59639
465,145,58,7,4.533956666666667
466,125,94,3,3.90917
467,54,12,7,1.68838
468,202,192,9,6.317753333333333
469,140,85,9,4.378
470,110,48,12,3.4396066666666667
471,102,48,10,3.1895000000000002
472,72,10,15,2.2510933333333334
473,266,176,5,8.318393333333333
474,257,85,12,8.03581
475,51,24,14,1.5947500000000001
476,96,93,10,3.00252
477,77,25,13,2.40761
478,171,121,4,5.347643333333333
479,236,155,7,7.380213333333334
480,285,82,16,8.911143333333333
481,58,57,4,1.8140333333333334
482,98,95,7,3.0650733333333333
483,265,72,20,8.285743333333333
484,34,27,9,1.0633133333333333
485,241,167,1,7.53669
486,299,236,19,9.350883333333332
487,101,63,16,3.158436666666667
488,173,11,12,5.408703333333333
489,121,116,1,3.78441
490,18,17,7,0.5629666666666667
491,269,111,3,8.411316666666668
492,93,18,5,2.90773
493,95,39,8,2.9705366666666664
494,150,41,12,4.6900466666666665
495,167,49,1,5.22163
496,291,260,10,9.101096666666667
497,194,47,3,6.065713333333333
498,217,86,14,6.785290000000001
499,208,86,16,6.503920000000001
500,229,195,5,7.161903333333333
501,220,116,18,6.87948
502,43,24,12,1.3446433333333334
503,90,54,20,2.8144199999999997
504,223,67,1,6.972616666666666
505,284,18,7,8.879026666666666
506,100,77,11,3.12736
507,73,48,12,2.2828633333333337
508,12,10,20,0.3752933333333333
509,160,89,14,5.0033199999999995
510,157,43,18,4.908916666666667
511,227,194,9,7.099363333333334
512,200,102,15,6.254026666666666
513,137,75,3,4.284076666666667
514,150,56,6,4.690246666666666
515,219,51,4,6.84735
516,211,67,7,6.597456666666666
517,15,11,5,0.46909666666666666
518,252,223,10,7.881333333333333
519,39,20,18,1.2195366666666667
520,201,126,20,6.28561
521,238,127,1,7.4423666666666675
522,62,17,16,1.9385533333333334
523,70,62,9,2.18926
524,282,60,11,8.81706
525,298,88,5,9.317646666666667
526,279,245,3,8.725736666666666
527,222,75,5,6.94146
528,86,21,7,2.6889266666666667
529,168,51,9,5.25292
530,286,199,2,8.943966666666666
531,150,62,4,4.6903266666666665
532,183,94,18,5.7224433333333335
533,42,36,18,1.31354
534,265,34,7,8.285236666666666
535,145,89,7,4.53437
536,87,70,19,2.7208433333333333
537,156,70,16,4.8780133333333335
538,153,90,5,4.78449
539,173,139,19,5.41041
540,244,165,9,7.6304533333333335
541,152,121,5,4.75364
542,122,24,5,3.8144466666666665
543,277,66,14,8.660823333333333
544,200,101,19,6.254013333333333
545,294,243,2,9.19466
546,183,182,9,5.723616666666667
547,69,50,15,2.1578366666666664
548,143,38,9,4.471163333333333
549,80,49,13,2.5017199999999997
550,16,12,5,0.5003733333333333
551,75,30,11,2.34515
552,279,176,17,8.724816666666666
553,55,53,10,1.7201899999999999
554,280,269,12,8.75732
555,240,17,13,7.503426666666666
556,40,33,12,1.2509733333333333
557,257,136,1,8.036489999999999
558,143,113,7,4.4721633333333335
559,183,138,3,5.72303
560,128,51,19,4.002386666666666
561,237,27,10,7.40977
562,146,138,3,4.566286666666667
563,296,57,20,9.254706666666666
564,121,56,19,3.78361
565,146,79,17,4.5655
566,199,22,3,6.221696666666666
567,179,90,3,5.597336666666666
568,278,203,12,8.693913333333333
569,269,172,8,8.412130000000001
570,37,23,17,1.15705
571,287,66,17,8.973456666666667
572,189,105,6,5.91017
573,118,24,12,3.6893933333333333
574,299,27,14,9.348096666666667
575,239,234,19,7.475056666666666
576,195,145,17,6.098283333333334
577,45,41,5,1.4073966666666666
578,247,205,6,7.724776666666667
579,187,157,3,5.848336666666667
580,20,16,1,0.6254799999999999
581,270,11,20,8.441246666666666
582,272,103,18,8.505
583,287,92,16,8.973803333333333
584,28,22,6,0.8756666666666667
585,292,169,3,9.131146666666668
586,134,119,13,4.190873333333333
587,185,89,6,5.784903333333333
588,193,15,15,6.034023333333334
589,149,92,13,4.659463333333333
590,196,117,13,6.129173333333333
591,59,26,1,1.8448833333333334
592,113,100,16,3.53409
593,212,204,3,6.630546666666667
594,105,12,16,3.28281
595,227,27,20,7.097136666666667
596,166,133,20,5.191486666666667
597,257,256,8,8.038089999999999
598,140,106,6,4.37828
599,76,36,10,2.3764933333333333
600,89,23,18,2.782743333333333
601,116,109,9,3.628
602,26,25,6,0.81318
603,300,156,10,9.381079999999999
604,136,60,13,4.252613333333334
605,75,12,11,2.34491
606,261,202,1,8.162423333333333
607,145,117,2,4.534743333333333
608,208,194,10,6.5053600000000005
609,187,85,9,5.847376666666667
610,215,40,4,6.72215
611,175,32,11,5.47151
612,217,45,14,6.784743333333334
613,292,273,16,9.132533333333335
614,86,83,6,2.6897533333333334
615,80,30,8,2.5014666666666665
616,21,12,15,0.65669
617,79,19,16,2.4700566666666663
618,82,20,11,2.56386
619,297,227,5,9.288236666666666
620,282,58,3,8.817033333333333
621,257,124,10,8.03633
622,133,80,10,4.15909
623,288,268,12,9.007413333333334
624,104,76,4,3.2524
625,123,80,8,3.8464566666666666
626,95,54,2,2.9707366666666664
627,129,104,9,4.034356666666667
628,185,108,15,5.7851566666666665
629,22,17,10,0.6880200000000001
630,124,25,14,3.876986666666667
631,254,113,5,7.942393333333333
632,139,58,14,4.346376666666666
633,115,44,16,3.5958699999999997
634,178,129,9,5.566593333333333
635,147,65,8,4.596576666666667
636,179,47,9,5.596763333333333
637,290,36,3,9.066846666666667
638,45,29,14,1.4072366666666667
639,137,46,17,4.28369
640,80,64,18,2.5019199999999997
641,201,179,16,6.286316666666666
642,295,227,7,9.22571
643,234,121,8,7.317233333333333
644,242,65,12,7.5665933333333335
645,158,119,3,4.941193333333333
646,78,22,5,2.4388333333333336
647,187,140,12,5.84811
648,248,68,2,7.754213333333333
649,216,141,9,6.75476
650,155,143,13,4.847723333333334
651,286,91,11,8.942526666666668
652,243,186,2,7.59947
653,217,116,16,6.785690000000001
654,156,67,8,4.877973333333333
655,191,188,19,5.973803333333334
656,16,13,9,0.5003866666666666
657,273,252,9,8.538250000000001
658,82,27,15,2.5639533333333335
659,288,260,7,9.007306666666667
660,277,175,19,8.662276666666665
661,84,74,19,2.6271066666666663
662,70,53,7,2.18914
663,120,15,17,3.7518
664,206,35,14,6.440713333333334
665,180,84,3,5.62852
666,181,68,20,5.6595699999999995
667,274,41,10,8.5667
668,229,121,2,7.160916666666666
669,201,149,6,6.285916666666666
670,162,50,18,5.0653266666666665
671,183,14,12,5.721376666666667
672,211,176,6,6.59891
673,157,111,12,4.909823333333334
674,165,10,8,5.1585833333333335
675,28,21,4,0.8756533333333333
676,22,22,20,0.6880866666666667
677,25,18,6,0.7818233333333333
678,266,226,8,8.31906
679,261,69,11,8.16065
680,94,82,18,2.939846666666667
681,251,97,4,7.848389999999999
682,171,75,7,5.34703
683,283,28,20,8.847896666666667
684,108,98,8,3.377746666666667
685,293,72,11,9.161116666666667
686,257,69,9,8.035596666666667
687,57,34,6,1.7824633333333335
688,138,14,1,4.314526666666667
689,76,45,16,2.3766133333333332
690,185,51,13,5.784396666666667
691,208,104,9,6.504160000000001
692,79,35,19,2.4702699999999997
693,104,35,8,3.2518533333333335
694,175,142,8,5.472976666666667
695,240,110,3,7.504666666666666
696,67,28,14,2.0950166666666665
697,234,200,13,7.318286666666666
698,254,190,2,7.94342
699,175,42,5,5.471643333333334
700,229,162,4,7.161463333333333
701,121,73,6,3.7838366666666667
702,257,107,20,8.036103333333333
703,19,12,13,0.5941633333333334
704,13,10,13,0.4065566666666667
705,188,55,4,5.878240000000001
706,139,23,20,4.34591
707,77,54,14,2.4079966666666666
708,41,24,13,1.2821166666666668
709,295,163,5,9.224856666666666
710,17,14,16,0.5316633333333334
711,258,250,7,8.069273333333333
712,15,15,12,0.46914999999999996
713,108,56,4,3.377186666666667
714,278,129,8,8.692926666666667
715,255,212,18,7.974976666666667
716,91,33,8,2.8454033333333335
717,243,80,2,7.5980566666666665
718,288,155,16,9.005906666666666
719,109,100,5,3.4090366666666667
720,110,14,10,3.439153333333333
721,166,36,16,5.190193333333333
722,203,130,12,6.34819
723,281,123,18,8.786636666666666
724,218,69,18,6.816326666666667
725,139,124,11,4.3472566666666665
726,165,154,15,5.160503333333334
727,23,16,11,0.71927
728,67,49,12,2.0952966666666666
729,16,13,8,0.5003866666666666
730,219,153,11,6.84871
731,296,96,10,9.255226666666665
732,177,117,10,5.53517
733,108,101,1,3.3777866666666667
734,31,23,2,0.96947
735,20,11,6,0.6254133333333333
736,217,205,7,6.786876666666667
737,35,16,4,1.09443
738,17,14,15,0.5316633333333334
739,144,23,5,4.502226666666667
740,127,38,14,3.97095
741,55,32,20,1.7199099999999998
742,247,190,16,7.724576666666667
743,156,63,1,4.8779200000000005
744,287,74,5,8.973563333333333
745,51,19,16,1.5946833333333335
746,239,124,5,7.47359
747,210,111,2,6.56678
748,101,78,1,3.1586366666666668
749,275,21,18,8.597696666666666
750,176,55,20,5.503080000000001
751,285,166,20,8.912263333333334
752,131,68,17,4.096403333333333
753,211,57,6,6.597323333333333
754,137,35,19,4.283543333333334
755,204,34,3,6.378173333333334
756,287,197,13,8.975203333333333
757,28,11,9,0.87552
758,252,226,11,7.881373333333333
759,273,220,3,8.537823333333334
760,96,17,7,3.0015066666666668
761,96,62,14,3.0021066666666667
762,19,19,18,0.5942566666666667
763,144,37,16,4.502413333333333
764,39,11,16,1.2194166666666668
765,215,70,3,6.72255
766,159,157,15,4.972963333333333
767,110,19,3,3.4392199999999997
768,62,45,20,1.9389266666666667
769,213,39,20,6.65961
770,233,117,11,7.285916666666666
771,141,44,2,4.408716666666667
772,91,15,15,2.8451633333333333
773,272,268,12,8.507200000000001
774,286,210,20,8.944113333333334
775,71,70,7,2.22063
776,288,34,5,9.004293333333333
777,222,35,16,6.940926666666667
778,70,36,1,2.1889133333333333
779,158,143,19,4.941513333333333
780,283,254,15,8.85091
781,55,39,6,1.7200033333333333
782,113,86,1,3.5339033333333334
783,85,57,20,2.6581433333333333
784,81,33,9,2.53277
785,62,51,12,1.9390066666666668
786,41,38,15,1.2823033333333334
787,173,78,16,5.409596666666666
788,250,34,16,7.816286666666667
789,27,24,8,0.84443
790,293,12,1,9.160316666666667
791,173,58,16,5.40933
792,262,59,10,8.19178
793,200,15,3,6.252866666666667
794,235,179,11,7.34927
795,237,199,10,7.412063333333333
796,116,45,3,3.6271466666666665
797,31,17,11,0.9693900000000001
798,199,170,11,6.223669999999999
799,249,21,5,7.7848500000000005
800,300,133,2,9.380773333333332
801,185,116,4,5.785263333333334
802,19,18,20,0.5942433333333333
803,139,52,14,4.3462966666666665
804,228,127,6,7.129733333333334
805,296,281,10,9.257693333333332
806,55,30,10,1.7198833333333332
807,172,131,20,5.37904
808,253,132,3,7.911383333333333
809,63,34,2,1.9700433333333334
810,235,133,18,7.348656666666667
811,267,247,15,8.350603333333334
812,21,10,6,0.6566633333333333
813,96,80,20,3.0023466666666665
814,282,153,12,8.818299999999999
815,290,111,7,9.067846666666668
816,19,11,16,0.59415
817,71,19,11,2.21995
818,101,99,9,3.158916666666667
819,115,48,12,3.5959233333333334
820,103,61,18,3.220936666666667
821,116,28,14,3.6269199999999997
822,225,95,14,7.035516666666667
823,122,30,7,3.8145266666666666
824,273,15,20,8.53509
825,226,155,9,7.06758
826,83,20,15,2.5951233333333334
827,119,28,20,3.72071
828,275,86,17,8.598563333333333
829,12,12,6,0.37532
830,39,15,5,1.21947
831,107,90,19,3.3463766666666666
832,133,44,1,4.15861
833,197,54,7,6.159596666666667
834,48,12,4,1.5008
835,14,13,16,0.43786
836,192,188,6,6.005066666666667
837,24,12,12,0.75048
838,225,68,19,7.0351566666666665
839,299,81,17,9.348816666666666
840,65,42,1,2.0326766666666667
841,193,47,17,6.03445
842,114,77,5,3.565046666666667
843,120,10,6,3.751733333333333
844,54,10,12,1.6883533333333334
845,136,124,18,4.253466666666667
846,290,150,11,9.068366666666668
847,46,28,7,1.4384866666666667
848,71,14,13,2.219883333333333
849,191,41,20,5.971843333333333
850,139,17,6,4.345829999999999
851,117,30,7,3.65821
852,249,47,16,7.785196666666667
853,243,175,9,7.599323333333333
854,185,73,1,5.78469
855,106,80,17,3.31498
856,151,74,1,4.72175
857,246,236,11,7.693926666666667
858,193,173,13,6.03613
859,201,128,9,6.285636666666666
860,179,177,7,5.598496666666667
861,252,194,2,7.8809466666666665
862,41,18,1,1.2820366666666667
863,185,122,7,5.7853433333333335
864,125,66,19,3.9087966666666665
865,263,100,7,8.22359
866,59,12,17,1.8446966666666667
867,54,39,5,1.6887400000000001
868,155,10,14,4.84595
869,132,98,4,4.128066666666666
870,60,12,17,1.8759599999999998
871,155,148,16,4.84779
872,276,229,3,8.631733333333333
873,290,251,13,9.069713333333334
874,20,14,1,0.6254533333333333
875,191,98,1,5.972603333333333
876,64,51,9,2.001533333333333
877,55,29,2,1.71987
878,253,210,16,7.912423333333333
879,63,58,16,1.9703633333333332
880,224,216,16,7.005866666666667
881,93,93,11,2.9087300000000003
882,287,136,14,8.97439
883,92,65,11,2.8770933333333333
884,184,38,1,5.75296
885,17,11,12,0.5316233333333333
886,220,92,8,6.87916
887,131,87,3,4.096656666666666
888,66,37,14,2.0638733333333334
889,263,161,6,8.224403333333333
890,53,37,5,1.6574499999999999
891,252,204,20,7.88108
892,292,185,2,9.13136
893,206,23,20,6.440553333333334
894,149,35,9,4.658703333333333
895,204,18,7,6.37796
896,76,59,3,2.3768
897,99,55,1,3.0958033333333335
898,216,88,16,6.754053333333333
